"id","transactions"
0,2782
1,95559
2,89673
3,95016
4,90978
5,88058
6,82235
7,83103
8,95144
9,95508
10,86153
11,80677
12,77684
13,76707
14,82032
15,93745
16,94872
17,86203
18,79209
19,82320
20,76482
21,79344
22,90575
23,90733
24,81661
25,78075
26,77113
27,74725
28,79462
29,93118
30,95760
31,92751
32,86997
33,85342
34,83439
35,87712
36,95279
37,83820
38,81248
39,81673
40,85742
41,82016
42,86510
43,100503
44,101876
45,84767
46,82500
47,82224
48,79030
49,82845
50,92818
51,92008
52,86135
53,79649
54,79832
55,76250
56,79921
57,92282
58,93051
59,93944
60,89112
61,82253
62,87698
63,97658
64,93039
65,89935
66,89561
67,83769
68,80539
69,84000
70,92812
71,88635
72,84958
73,85827
74,85125
75,79419
76,83368
77,92485
78,89223
79,86935
80,84808
81,85125
82,86148
83,80672
84,88316
85,83224
86,82808
87,83428
88,79951
89,81147
90,91712
91,102393
92,99753
93,90346
94,88880
95,86341
96,81174
97,85419
98,94054
99,90957
100,84906
101,89425
102,84069
103,77938
104,84743
105,89822
106,92562
107,103361
108,100432
109,94255
110,85960
111,86446
112,95092
113,90880
114,83764
115,83494
116,80845
117,75502
118,82578
119,97493
120,101113
121,90161
122,90846
123,88777
124,84276
125,90334
126,90897
127,94529
128,85902
129,84887
130,84136
131,78730
132,82398
133,92159
134,92061
135,86312
136,85702
137,79821
138,77700
139,84360
140,92134
141,89978
142,84103
143,81942
144,79165
145,76560
146,86489
147,86190
148,87419
149,86820
150,98716
151,92752
152,83303
153,86323
154,96381
155,94359
156,86499
157,86292
158,83724
159,77556
160,81550
161,89891
162,87953
163,82966
164,82535
165,82426
166,82943
167,85878
168,86656
169,90603
170,82920
171,84541
172,81652
173,76406
174,79412
175,87871
176,86330
177,81171
178,81374
179,79606
180,77965
181,91180
182,98645
183,94873
184,90146
185,87549
186,86977
187,79288
188,85462
189,91367
190,87984
191,83354
192,82328
193,80057
194,76910
195,83812
196,91717
197,87640
198,84898
199,82739
200,84319
201,78120
202,82020
203,88668
204,86031
205,84194
206,82571
207,81396
208,76317
209,83313
210,92242
211,91037
212,93496
213,90759
214,88906
215,83290
216,87026
217,91669
218,88453
219,85797
220,80943
221,83868
222,81787
223,85130
224,85049
225,82184
226,88188
