"id","transactions"
0,2438
1,78330
2,89573
3,43390
4,91669
5,88786
6,82912
7,83784
8,95922
9,96243
10,86724
11,81239
12,78257
13,77262
14,82609
15,94406
16,95476
17,86676
18,79659
19,82827
20,76929
21,79815
22,91129
23,91214
24,82017
25,78433
26,77499
27,75081
28,79856
29,93588
30,96166
31,93033
32,87289
33,85645
34,83730
35,88033
36,95672
37,84064
38,81411
39,81869
40,85984
41,82233
42,86740
43,100759
44,102071
45,84918
46,82637
47,82372
48,79130
49,82986
50,93025
51,92178
52,86173
53,79725
54,79907
55,76308
56,80005
57,92434
58,93114
59,93915
60,89170
61,82275
62,87725
63,97768
64,93133
65,89938
66,89511
67,83699
68,80481
69,83974
70,92876
71,88682
72,84898
73,85716
74,85016
75,79310
76,83304
77,92499
78,89208
79,86833
80,84628
81,84984
82,86075
83,80563
84,88281
85,83152
86,82655
87,83198
88,79738
89,80935
90,91526
91,102293
92,99697
93,90173
94,88631
95,86092
96,80932
97,85217
98,93938
99,90830
100,84667
101,89143
102,83798
103,77674
104,84512
105,89624
106,92372
107,103211
108,100246
109,94096
110,85791
111,86296
112,95035
113,90822
114,83591
115,83262
116,80618
117,75293
118,82419
119,97433
120,101005
121,89980
122,90607
123,88557
124,84076
125,90189
126,108360
127,94164
128,90616
129,86508
130,83874
131,78484
132,82191
133,92054
134,91970
135,86104
136,85417
137,79515
138,77436
139,84145
140,92008
141,89870
142,83894
143,81636
144,78872
145,76301
146,86312
147,86036
148,87245
149,86560
150,98435
151,92449
152,83007
153,86063
154,96221
155,94217
156,86245
157,85953
158,83412
159,77249
160,81286
161,89708
162,87775
163,82670
164,84515
165,82305
166,82830
167,85806
168,100005
169,90392
170,87490
171,84286
172,81394
173,76157
174,79212
175,87739
176,86211
177,80953
178,81088
179,79350
180,77702
181,90965
182,98507
183,94731
184,89931
185,87299
186,86715
187,79022
188,85234
189,91219
190,87828
191,83137
192,82060
193,79786
194,76631
195,83571
196,91553
197,87462
198,84664
199,82463
200,84054
201,77836
202,81775
203,88495
204,85829
205,83940
206,82277
207,81105
208,76007
209,83061
210,92081
211,90843
212,93229
213,90466
214,88601
215,82971
216,86743
217,91452
218,88218
219,85518
220,80641
221,83548
222,81472
223,84855
224,84794
225,81892
226,87861
